브랜드,제품명,현재 판매가,회원 할인가,판매자,다른 판매자,옵션,상세정보,URL
에이수스,에이수스 2024 비보북 S 15 라이젠5 라이젠 7000 시리즈,"899,000원","849,000원",로켓배송,없음,"색상: 뉴트럴 블랙, 저장용량 × RAM용량 × 운영체제: 512GB × 16GB × Free DOS","CPU 모델명: 라이젠5, CPU 모델 번호: 라이젠5-7535HS, 화면크기: 39.62cm, 중량: 1.5kg, 출시년월: 2024.04, 쿠팡상품번호: 8003096116 - 22296194064",https://www.coupang.com/vp/products/8003096116?itemId=22296194064&vendorItemId=89341695020
기가바이트,기가바이트 2024 G5 KF5 15.6 코어i7 인텔 13세대 지포스 RTX 4060,"1,499,000원","1,299,000원",로켓배송,없음,"색상: 블랙, 저장용량 × RAM용량 × 운영체제: 1TB × 16GB × Free DOS","CPU 모델명: 코어i7, CPU 모델 번호: 코어i7-13620H, GPU 모델명: 지포스 RTX 4060, 중량: 2.08kg, 출시년월: 2024.04, 쿠팡상품번호: 8000539317 - 22277681010",https://www.coupang.com/vp/products/8000539317?itemId=22277681010&vendorItemId=89323300985
레노버,레노버 2022 아이디어패드 슬림 1 15AMN7 15.6 라이젠3 라이젠 7000 시리즈,"488,990원","358,990원",로켓배송,4,"색상: Cloud Grey (82VG), 저장용량 × RAM용량 × 운영체제 × 모델명/품번: 256GB × 8GB × Free DOS × 82VG002EKR","CPU 모델명: 라이젠3, CPU 모델 번호: 라이젠3-7320U, 화면크기: 39.6cm, 중량: 1.58kg, 화면크기(인치): 약 15.6인치에 해당함, 쿠팡상품번호: 6990469893 - 17107738286",https://www.coupang.com/vp/products/6990469893?itemId=17107738286&vendorItemId=84281482577&pickType=COU_PICK
에이수스,"에이수스 Vivobook Go 15 라이젠5 라이젠 7000 시리즈
            쿨 실버 · 256GB · 16GB · WIN11 Home · E1504FA-BQ494","624,040원","544,040원",로켓배송,3,,"CPU 모델명: 라이젠5, CPU 모델 번호: 라이젠5-7520U, GPU 모델명: 내장그래픽 / Radeon 610M, 화면크기: 39.62cm, 중량: 1.63kg, 쿠팡상품번호: 7186200172 - 19658671019",https://www.coupang.com/vp/products/7186200172?itemId=19658671019&vendorItemId=86755221728
LG전자,"LG전자 2023 그램15 코어i5 인텔 13세대
            스노우 화이트 · 256GB · 16GB · WIN11 Home · 15Z90RU-GAOWK","1,550,000원","1,395,000원",로켓배송,6,,"CPU 모델명: 코어i5, CPU 모델 번호: 코어i5-1335U, 화면크기: 39.6cm, 중량: 1140g, 출시년월: 2023.02, 쿠팡상품번호: 7709148497 - 20660237250",https://www.coupang.com/vp/products/7709148497?itemId=20660237250&vendorItemId=86160350574
레노버,레노버 아이디어패드 슬림 1 15IJL7 15.6 셀러론 인텔 10세대,"369,000원","269,000원",로켓배송,3,"색상: SAND, 저장용량 × RAM용량 × 운영체제: 128GB × 4GB × WIN11 Home","CPU 모델명: 셀러론, CPU 모델 번호: Celeron N5100, 중량: 1.55kg, 그래픽카드 형태: 미장착, 저장장치: SSD, 쿠팡상품번호: 7730143093 - 19320398788",https://www.coupang.com/vp/products/7730143093?itemId=19320398788&vendorItemId=86434537380
레노버,레노버 2023 아이디어패드 슬림 3 15IAH8 코어i5 인텔 12세대,"699,000원","679,000원",로켓배송,4,"색상: Arctic Grey, 저장용량 × RAM용량 × 운영체제 × 모델명/품번: 256GB × 16GB × Free DOS × 83ER005YKR","CPU 모델명: 코어i5, CPU 모델 번호: 코어i5-12450H, 중량: 1.62kg, 출시년월: 2023.09, 그래픽카드 형태: 미장착, 쿠팡상품번호: 7743816755 - 20806316966",https://www.coupang.com/vp/products/7743816755?itemId=20806316966&vendorItemId=87875366904
HP,HP 2023 노트북 15 코어i5 인텔 13세대,"858,990원","808,990원",로켓배송,2,"색상: Natural Silver, 저장용량 × RAM용량 × 운영체제 × 모델명/품번: 512GB × 16GB × WIN11 Home × 15-fd0096tu","CPU 모델명: 코어i5, CPU 모델 번호: 코어i5-1334U, 화면크기: 39.6cm, 중량: 1.6kg, 출시년월: 2023.04, 쿠팡상품번호: 7505816676 - 18629263312",https://www.coupang.com/vp/products/7505816676?itemId=18629263312&vendorItemId=85764591502
에이수스,"에이수스 Vivobook Go 15 라이젠5 라이젠 7000 시리즈
            쿨 실버 · 256GB · 16GB · Free DOS · E1504FA-BQ494","479,000원","399,000원",로켓배송,3,,"CPU 모델명: 라이젠5, CPU 모델 번호: 라이젠5, GPU 모델명: 내장그래픽 / Radeon 610M, 화면크기: 39.62cm, 중량: 1.63kg, 쿠팡상품번호: 7186200172 - 18133826276",https://www.coupang.com/vp/products/7186200172?itemId=18133826276&vendorItemId=85284485959
HP,HP 2023 노트북 15 라이젠5 라이젠 7000 시리즈,"739,000원","699,000원",로켓배송,4,"색상: Natural Silver, 저장용량 × RAM용량 × 운영체제 × 모델명/품번: 512GB × 16GB × WIN11 Home × 15-fc0072AU","CPU 모델명: 라이젠5, CPU 모델 번호: 라이젠5-7530U, 화면크기: 39.6cm, 중량: 1.59kg, 출시년월: 2023.03, 쿠팡상품번호: 7505810587 - 18122375215",https://www.coupang.com/vp/products/7505810587?itemId=18122375215&vendorItemId=85273457615
에이수스,에이수스 2023 비보북 16X 코어i5 인텔 13세대,"654,240원","504,240원",로켓배송,3,"색상: 인디 블랙, 저장용량 × RAM용량 × 운영체제: 512GB × 8GB × Free DOS","CPU 모델명: 코어i5, CPU 모델 번호: 코어i5-1340P, 중량: 1.76kg, 출시년월: 2023.06, CPU 기본속도: 1.9GHz, 쿠팡상품번호: 7462617107 - 19454671642",https://www.coupang.com/vp/products/7462617107?itemId=19454671642&vendorItemId=86565249872
,"LG 울트라PC 15U560 6세대 i5 HD520 15.6인치 윈도우10
            15U560 · WIN10 · 8GB · 628GB · 코어i5 · 화이트",,"288,000원",(주)엘도라도,없음,,"저장장치: HDD+SSD, 색상계열: 화이트, 내장마이크 탑재여부: 내장마이크, 화면크기(인치): 15.6인치, 가전 모델: LG 울트라PC, 쿠팡상품번호: 7724065197 - 20737564655",https://www.coupang.com/vp/products/7724065197?itemId=20737564655&vendorItemId=87808008787
,[LG 14Z950] 그램노트북 인텔 5세대 i5-5200 8G SSD256G 윈10 14풀HD,,"287,000원",(주)카이로스,없음,"색상: 화이트, CPU 모델명 × 저장용량 × RAM용량 × 운영체제: 코어i5 × 256GB × 8GB × WIN10 Pro","해상도 (해상도 등급): FHD, 저장장치: SSD, 색상계열: 화이트, 내장마이크 탑재여부: 내장마이크, 그래픽카드 형태: 미장착, 쿠팡상품번호: 7896728819 - 21632309819",https://www.coupang.com/vp/products/7896728819?itemId=21632309819&vendorItemId=87899341520
삼성전자,"삼성노트북 NT550XED-K24A 윈도우11탑재 가성비 인강용 사무용 학생용 업무용 노트북 추천 한컴오피스 증정
            그라파이트 · NT550XED-K24A · 펜티엄 · 128GB · 8GB · Windows11Pro",,"579,000원",주식회사 브랜드텍,없음,,"해상도 (해상도 등급): FHD, 패널: PLS, 저장장치: HDD+SSD, 코어 종류: 펜타코어, 색상계열: 그라파이트, 쿠팡상품번호: 7761832619 - 20932936461",https://www.coupang.com/vp/products/7761832619?itemId=20932936461&vendorItemId=87802699270
LG전자,LG전자 2021 울트라 PC 14 셀러론,,"489,600원",로켓배송,3,"색상: 화이트, 저장용량 × RAM용량 × 운영체제 × 모델명/품번: 128GB × 4GB × WIN11 Home × 14U30P-LE12K","CPU 모델명: 셀러론, CPU 모델 번호: 셀러론N4120, 화면크기: 35.5cm, 중량: 1450g, 출시년월: 2021.11, 쿠팡상품번호: 6372763434 - 19064151414",https://www.coupang.com/vp/products/6372763434?itemId=19064151414&vendorItemId=86187002175
레노버,레노버 2023 아이디어패드 슬림 3 15IAH8 코어i5 인텔 12세대,"739,000원","738,000원",로켓배송,4,"색상: ARCTIC GREY, 저장용량 × RAM용량 × 운영체제 × 모델명/품번: 512GB × 16GB × Free DOS × 83ER0060KR","CPU 모델명: 코어i5, CPU 모델 번호: i5-12450H, 중량: 1.62kg, 출시년월: 2023.08, 그래픽카드 형태: 외장그래픽카드 장착, 쿠팡상품번호: 7743816755 - 20841101281",https://www.coupang.com/vp/products/7743816755?itemId=20841101281&vendorItemId=87908831614
,베이직스 2022 베이직북 14 3세대 셀러론,,"398,000원",로켓배송,없음,"색상: White, 저장용량 × RAM용량 × 운영체제: 256GB × 8GB × WIN11 Pro","CPU 모델명: 셀러론, CPU 모델 번호: 셀러론-N5100, 중량: 1.35kg, 출시년월: 2022.07, 화면크기(인치): 약 14.1인치에 해당함, 쿠팡상품번호: 6662026640 - 15294714959",https://www.coupang.com/vp/products/6662026640?itemId=15294714959&vendorItemId=82515116791
LG전자,LG 울트라PC 15U560 6세대 코어i5 8G SSD128GB Win10 화이트,,"294,000원",주식회사세컨핸드,없음,"운영체제: WIN10 Home, RAM용량 × 저장용량 × CPU 모델명 × 색상: 8GB × 128GB × 코어i5 × 화이트","저장장치: SSD, 가전 모델: LG 울트라PC, 색상계열: 화이트, 내장마이크 탑재여부: 내장마이크, 쿠팡상품번호: 6357416487 - 13404619609",https://www.coupang.com/vp/products/6357416487?itemId=13404619609&vendorItemId=86251209576
HP,"HP 2023 빅터스 15 코어i5 인텔 12세대 지포스 RTX 4050
            Mica Silver · 512GB · 16GB · Free DOS · 15-fa1108TX","1,139,000원","1,138,000원",로켓배송,2,,"CPU 모델명: 코어i5, CPU 모델 번호: i5-12500H, GPU 모델명: 지포스 RTX 4050, 화면크기: 39.6cm, 중량: 2.29kg, 쿠팡상품번호: 7420594832 - 19248300034",https://www.coupang.com/vp/products/7420594832?itemId=19248300034&vendorItemId=86364111900
레노버,레노버 2023 V15 G4 AMN 15.6 라이젠5 라이젠 7000 시리즈,"509,000원","379,000원",로켓배송,3,"색상: ARCTIC GREY, 저장용량 × RAM용량 × 운영체제 × 모델명/품번: 256GB × 8GB × Free DOS × 82YU000BKR","CPU 모델명: 라이젠5, CPU 모델 번호: 라이젠5-7520U, 중량: 1.65kg, 출시년월: 2023.04, 화면크기(인치): 약 15.6인치에 해당함, 쿠팡상품번호: 7485387396 - 19564829329",https://www.coupang.com/vp/products/7485387396?itemId=19564829329&vendorItemId=86672724494
삼성전자,삼성노트북 NT371B5J 사무용노트북,,"299,000원",주식회사 노트몰,없음,"운영체제: WIN10 Pro, RAM용량 × 저장용량 × CPU 모델명 × 색상: 16GB × 240GB × 코어i5 × 블랙","저장장치: SSD, 내장마이크 탑재여부: 내장마이크, 그래픽카드 형태: 외장그래픽카드 장착, 저장장치 인터페이스: M.2 NVMe, 쿠팡상품번호: 7581844823 - 19759845767",https://www.coupang.com/vp/products/7581844823?itemId=19759845767&vendorItemId=86863192396
HP,HP 2023 노트북 255 G10 15.6 라이젠5 라이젠 7000 시리즈,"589,000원","588,000원",로켓배송,없음,"색상: 실버, 저장용량 × RAM용량 × 운영체제 × 모델명/품번: 256GB × 8GB × Free DOS × 8L8J5PA","CPU 모델명: 라이젠5, CPU 모델 번호: 라이젠5-7520U, 화면크기: 39.6cm, 중량: 1.52kg, 출시년월: 2023.03, 쿠팡상품번호: 7589589691 - 20052820397",https://www.coupang.com/vp/products/7589589691?itemId=20052820397&vendorItemId=87149010268
레노버,"레노버 2023 V14 G4 IRU 코어i3 인텔 13세대
            Iron Gray · 256GB · 16GB · Free DOS · 83A00006KR","465,570원","405,570원",로켓배송,없음,,"CPU 모델명: 코어i3, CPU 모델 번호: 코어i3-1315U, 중량: 1.41kg, 출시년월: 2023.07, 그래픽카드 형태: 미장착, 쿠팡상품번호: 7539256992 - 20470198304",https://www.coupang.com/vp/products/7539256992?itemId=20470198304&vendorItemId=87537340769
LG전자,LG 2023 울트라PC 엣지 16 라이젠5 라이젠 7000 시리즈,"1,118,000원","983,840원",로켓배송,6,"색상: 차콜 그레이, 저장용량 × RAM용량 × 운영체제 × 모델명/품번: 256GB × 16GB × WIN11 Home × 16U70R-GA56K","CPU 모델명: 라이젠5, CPU 모델 번호: 라이젠5-7530U, 화면크기: 40.6cm, 중량: 1600g, 출시년월: 2023.04, 쿠팡상품번호: 7355142712 - 18852975566",https://www.coupang.com/vp/products/7355142712?itemId=18852975566&vendorItemId=85982221277
,삼성전자 삼성노트북 NT200B5C/i5-3210/4G/SSD128G/DVD멀티/15.6/1600*900/윈도우10/2.3kg/무상보증1년,,"179,000원",에스엔에스 시스템,2,운영체제 × RAM용량 × 저장용량 × CPU 모델명 × 색상: WIN10 Pro × 4GB × 128GB × 코어i5 × 블랙,"저장장치: SSD, 내장마이크 탑재여부: 내장마이크, 그래픽카드 형태: 외장그래픽카드 장착, 쿠팡상품번호: 6431304215 - 13881662519",https://www.coupang.com/vp/products/6431304215?itemId=13881662519&vendorItemId=81135207478
LG전자,"중고노트북 삼성 LG HP DELL 레노버 한성 ASUS 정품윈도우 SSD 대화면 노트북
            14/15인치 · WIN10 Home · 4GB · 128GB · 코어i5 · 블랙","109,000원","99,000원",(주)에스와이씨앤아이,없음,,"저장장치: SSD, 색상계열: 블랙, 내장마이크 탑재여부: 내장마이크, 그래픽카드 형태: 미장착, 저장장치 인터페이스: M.2 NVMe, 쿠팡상품번호: 7376292269 - 19039045811",https://www.coupang.com/vp/products/7376292269?itemId=19039045811&vendorItemId=86251127041
LG전자,"LG전자 2023 울트라 PC 15 코어i3 인텔 13세대
            화이트 · 256GB · 8GB · WIN11 Home · 15U50R-GR30K","895,000원","805,500원",로켓배송,없음,,"CPU 모델명: 코어i3, CPU 모델 번호: 코어i3-1315U, 화면크기: 39.6cm, 중량: 1.8kg, 출시년월: 2023.05, 쿠팡상품번호: 7983748736 - 22166799149",https://www.coupang.com/vp/products/7983748736?itemId=22166799149&vendorItemId=89213271709
HP,HP 2024 노트북 15 코어i3 인텔 13세대,"639,000원","599,000원",로켓배송,3,"색상: 다이아몬드 화이트(커버) + 내추럴 실버(베이스), 저장용량 × RAM용량 × 운영체제: 512GB × 8GB × WIN11 Home","CPU 모델명: 코어i3, CPU 모델 번호: i3-1315U, 화면크기: 39.6cm, 중량: 1.59kg, 출시년월: 2024.01, 쿠팡상품번호: 7812122926 - 21193117761",https://www.coupang.com/vp/products/7812122926?itemId=21193117761&vendorItemId=88254439621
삼성전자,삼성 LG HP 노트북 i5 가정 업무 게임 포토샵 주식용 Win10 무상1년 사은품,"289,000원","286,000원",윤텍,없음,색상 × CPU 모델명 × 저장용량 × RAM용량 × 운영체제: 실버/블랙 × i5 4200 × 500GB × 8GB × Win10,"ODD장착여부: ODD장착, 그래픽카드 형태: 미장착, SSD용량: 500, 화면크기(인치): 15, GPU 모델명: 인텔HD, 쿠팡상품번호: 7527467832 - 19756553422",https://www.coupang.com/vp/products/7527467832?itemId=19756553422&vendorItemId=88166484474
,삼성전자 갤럭시북4 15.6 코어I5 13세대 한컴오피스팩 및 무선마우스 정품 윈도우11 패키지 동봉,"1,079,000원","1,049,000원",(주)한사랑씨앤씨,없음,"운영체제: WIN11 Home, RAM용량 × 저장용량 × 색상: 16GB × 512GB × 그레이","저장장치: SSD, 색상계열: 그레이, 내장마이크 탑재여부: 내장마이크, 화면크기(인치): 15.6, 가전 모델: Galaxy Book, 쿠팡상품번호: 7991194687 - 22212816611",https://www.coupang.com/vp/products/7991194687?itemId=22212816611&vendorItemId=89258837393
에이수스,"에이수스 2023 비보북 15 코어i5 인텔 13세대
            콰이어트 블루 · 256GB · 8GB · Free DOS · X1502VA-BQ079",,"649,000원",주식회사 에이블컴파니,3,,"CPU 모델명: 코어i5, CPU 모델 번호: 코어i5-13500H, 중량: 1.7kg, 출시년월: 2023.02, 그래픽카드 형태: 미장착, 쿠팡상품번호: 7813671086 - 18344360011",https://www.coupang.com/vp/products/7813671086?itemId=18344360011&vendorItemId=85871081496
LG전자,LG전자 그램 14 코어 울트라5 인텔 Iris,"1,390,000원","1,209,300원",로켓배송,없음,"색상: 에센스 화이트, 저장용량 × RAM용량 × 운영체제 × 모델명/품번: 256GB × 8GB × WIN11 Home × 14Z90S-GR5CK","CPU 모델명: 코어Ultra5, 출시년월: 2024년 1월, 저장장치: SSD, 가전 모델: 그램 인텔 Iris, 내장마이크 탑재여부: 내장마이크, 쿠팡상품번호: 7792795332 - 21086817496",https://www.coupang.com/vp/products/7792795332?itemId=21086817496&vendorItemId=88148892190
삼성전자,"삼성노트북 NT301E5C-A i5 DDR3 8G SSD 128G 윈10
            NT301E5C-A · WIN10 · 16GB · 128GB · 블랙",,"190,000원",하프전자(주),없음,,"메모리종류: DDR3, 화면크기(인치): 15.6인치, 저장장치: SSD, CPU 모델명: 코어i5, 색상계열: 블랙, 쿠팡상품번호: 7978510641 - 22126355482",https://www.coupang.com/vp/products/7978510641?itemId=22126355482&vendorItemId=89173185019
삼성전자,삼성 노트북3 NT371B5J I5-4310M/8G/SSD256G/HD4600/15.6/WIN10,,"189,000원",C&TEC,없음,"운영체제: WIN10, RAM용량 × 저장용량 × CPU 모델명 × 색상: 8GB × 256GB × I5 × 투톤","저장장치: SSD, 그래픽카드 형태: 미장착, 가전 모델: Notebook 3, 저장장치 인터페이스: M.2 NVMe, 색상계열: 블랙, 쿠팡상품번호: 7581844823 - 21581453330",https://www.coupang.com/vp/products/7581844823?itemId=21581453330&vendorItemId=88641369927
삼성전자,"A급중고 삼성전자 노트북9 metal 초경량 NT901X5J인텔 7세대 i5 메모리 8GB 초고속 SSD 장착 15.6인치 FHD 윈도우10 설치
            미네랄 화이트 · NT901X5J · 코어i5 · 256GB · 8GB · WIN10 Pro",,"349,000원",에스엔에스 시스템,없음,,"해상도 (해상도 등급): FHD, 저장장치: SSD, 색상계열: 블랙, 내장마이크 탑재여부: 내장마이크, 그래픽카드 형태: 미장착, 쿠팡상품번호: 7694779544 - 20586122179",https://www.coupang.com/vp/products/7694779544?itemId=20586122179&vendorItemId=83443669935
삼성전자,삼성 노트북 I3-3210 4G ssd120G,,"149,000원",명진테크,없음,"색상: 단일색상, CPU 모델명 × 저장용량 × RAM용량 × 운영체제: 코어i5 3210 × 120GB × 4GB × WIN10 Home","저장장치: SSD, 색상계열: 블랙, 내장마이크 탑재여부: 내장마이크, 그래픽카드 형태: 외장그래픽카드 장착, 쿠팡상품번호: 7650834051 - 20356479016",https://www.coupang.com/vp/products/7650834051?itemId=20356479016&vendorItemId=88419754026
삼성전자,가성비 좋은 삼성 노트북 i5 4세대 8G SSD 240 NT370E5J,,"175,000원",주식회사 림성,없음,"운영체제: WIN10, RAM용량 × 저장용량 × 색상: 8GB × 240GB × 블랙그레이","저장장치: SSD, 쿠팡상품번호: 7905884013 - 21679735114",https://www.coupang.com/vp/products/7905884013?itemId=21679735114&vendorItemId=88729875373
,A급중고 Miix 700 2 IN 1 인텔 m5-6Y54/8G/128G/13.3 FHD+터치스크린/WIN10,,"198,000원",에스엔에스 시스템,없음,"운영체제: WIN10, RAM용량 × 저장용량 × 색상: 8GB × 128GB × 골드","내장마이크 탑재여부: 내장마이크, 가전 모델: Notebook 5, 색상계열: 블랙, 코어 종류: 쿼드코어, 저장장치 인터페이스: M.2 SATA, 쿠팡상품번호: 7827957340 - 21282154977",https://www.coupang.com/vp/products/7827957340?itemId=21282154977&vendorItemId=88342229597
삼성전자,"삼성노트북 NT301E5C-A i5 DDR3 8G SSD 128G 윈10
            NT301E5C-A · WIN10 · 16GB · 256GB · 블랙",,"210,000원",하프전자(주),없음,,"메모리종류: DDR3, 화면크기(인치): 15.6인치, 저장장치: SSD, CPU 모델명: 코어i5, 색상계열: 블랙, 쿠팡상품번호: 7978510641 - 22126355484",https://www.coupang.com/vp/products/7978510641?itemId=22126355484&vendorItemId=89173185024
,A급중고/삼성/LG/HP I5 I7 리퍼 중고노트북 리퍼노트북 게이밍노트북 기본SSD장착 WIN10,,"149,000원",에스엔에스 시스템,없음,"모델명/품번: HP 430-G2, 운영체제 × RAM용량 × 저장용량 × CPU 모델명 × 색상: WIN10 Pro × 8GB × 128GB × 코어i5 × 블랙","저장장치: SSD, 색상계열: 블랙, 내장마이크 탑재여부: 내장마이크, 그래픽카드 형태: 미장착, 저장장치 인터페이스: M.2 SATA, 쿠팡상품번호: 7292982699 - 18644389198",https://www.coupang.com/vp/products/7292982699?itemId=18644389198&vendorItemId=85790839977
HP,"HP 2024 노트북 15 N100
            실버 · 128GB · 4GB · WIN11 S · 15-fd0247TU","399,000원","354,460원",로켓배송,3,,"CPU 모델 번호: N100, 화면크기: 39.6cm, 중량: 1.59kg, 출시년월: 2024.01, 해상도 (해상도 등급): FHD, 쿠팡상품번호: 7812159807 - 21193285017",https://www.coupang.com/vp/products/7812159807?itemId=21193285017&vendorItemId=88254604343
,"LG전자 울트라PC 15U470 i5-7200U 16G Win10
            15U470 · win10 · 16GB · 1256GB · 코어i5 · 화이트",,"395,000원",(주)엘도라도,없음,,"저장장치: HDD+SSD, 코어 종류: 듀얼코어, 색상계열: 화이트, 내장마이크 탑재여부: 내장마이크, 그래픽카드 형태: 외장그래픽카드 장착, 쿠팡상품번호: 7353085098 - 18926590807",https://www.coupang.com/vp/products/7353085098?itemId=18926590807&vendorItemId=86053529976
,"LG 울트라PC 15U560 6세대 i5 8G SSD Win10
            8GB · SSD 128 · 포함",,"294,000원",주식회사세컨핸드,없음,,"저장장치: HDD, 가전 모델: LG 울트라PC, 내장마이크 탑재여부: 내장마이크, 코어 종류: 듀얼코어, 색상계열: 화이트, 쿠팡상품번호: 5000628409 - 6684443376",https://www.coupang.com/vp/products/5000628409?itemId=6684443376&vendorItemId=73978137925
삼성전자,삼성전자 NT371B5L I7 16G 신품 SSD512 920MX WIN10,,"379,000원",(주)에스와이씨앤아이,없음,"색상: 블랙, 저장용량 × RAM용량: 512GB × 16GB","저장장치: SSD, 내장마이크 탑재여부: 내장마이크, 화면크기: 39.62cm, 화면크기(인치): 15.6인치, 가전 모델: 노트북 3, 쿠팡상품번호: 5269169030 - 7504936507",https://www.coupang.com/vp/products/5269169030?itemId=7504936507&vendorItemId=74795720729
,"A급중고 DELL 레티튜드 E7470 i5-6300U/8G/SSD256G/HD520/14/WIN10 명품노트북 인강용
            E7470 · WIN10 Pro · 8GB · 256GB · 코어i5 · 블랙",,"199,000원",에스엔에스 시스템,없음,,"저장장치: SSD, 코어 종류: 듀얼코어, 색상계열: 블랙, 내장마이크 탑재여부: 내장마이크, 그래픽카드 형태: 미장착, 쿠팡상품번호: 7460811136 - 20262090326",https://www.coupang.com/vp/products/7460811136?itemId=20262090326&vendorItemId=81131278678
삼성전자,삼성전자 NT371B5J i5 8G SSD256GB Win11,,"247,000원",(주)에스와이씨앤아이,없음,,"저장장치: SSD, 코어 종류: 듀얼코어, 내장마이크 탑재여부: 내장마이크, 그래픽카드 형태: 외장그래픽카드 장착, 쿠팡상품번호: 7694973129 - 20587023069",https://www.coupang.com/vp/products/7694973129?itemId=20587023069&vendorItemId=82559002569
